udid,ad_view_id,offer_id,accepted,udid,tracking_id,opt_soa_type,control_test
n09fqu25tt,f5777459-a8e4-45a9-9986-07373842e387,0a7e8300-08c8-41b2-9f8e-75e3a4bfdda6,FALSE,n09fqu25tt,f5777459-a8e4-45a9-9986-07373842e387,offerwall.new,7
n09fqu25tt,f5777459-a8e4-45a9-9986-07373842e387,0a7e8300-08c8-41b2-9f8e-75e3a4bfdda6,FALSE,n09fqu25tt,f5777459-a8e4-45a9-9986-07373842e387,,
n09fqu25tt,f5777459-a8e4-45a9-9986-07373842e387,492fe7bf-02f8-46a1-9f82-fd65cf3e5f2a,FALSE,n09fqu25tt,f5777459-a8e4-45a9-9986-07373842e387,offerwall.new,7
n09fqu25tt,f5777459-a8e4-45a9-9986-07373842e387,492fe7bf-02f8-46a1-9f82-fd65cf3e5f2a,FALSE,n09fqu25tt,f5777459-a8e4-45a9-9986-07373842e387,,
n09fqu25tt,f5777459-a8e4-45a9-9986-07373842e387,63f08ddc-e867-4e7c-bfea-c0f339de9538,FALSE,n09fqu25tt,f5777459-a8e4-45a9-9986-07373842e387,offerwall.new,7
n09fqu25tt,f5777459-a8e4-45a9-9986-07373842e387,63f08ddc-e867-4e7c-bfea-c0f339de9538,FALSE,n09fqu25tt,f5777459-a8e4-45a9-9986-07373842e387,,
n09fqu25tt,f5777459-a8e4-45a9-9986-07373842e387,8d25c332-d66c-48f1-a98f-f4ced3ac8a3b,FALSE,n09fqu25tt,f5777459-a8e4-45a9-9986-07373842e387,offerwall.new,7
n09fqu25tt,f5777459-a8e4-45a9-9986-07373842e387,8d25c332-d66c-48f1-a98f-f4ced3ac8a3b,FALSE,n09fqu25tt,f5777459-a8e4-45a9-9986-07373842e387,,
n09fqu25tt,f5777459-a8e4-45a9-9986-07373842e387,ca3a4aed-6943-4e29-b85d-f55255acb483,FALSE,n09fqu25tt,f5777459-a8e4-45a9-9986-07373842e387,offerwall.new,7
n09fqu25tt,f5777459-a8e4-45a9-9986-07373842e387,ca3a4aed-6943-4e29-b85d-f55255acb483,FALSE,n09fqu25tt,f5777459-a8e4-45a9-9986-07373842e387,,
n09fqu25tt,f5777459-a8e4-45a9-9986-07373842e387,dd40ba38-004f-4638-aa3b-0c787f7c8864,FALSE,n09fqu25tt,f5777459-a8e4-45a9-9986-07373842e387,offerwall.new,7
n09fqu25tt,f5777459-a8e4-45a9-9986-07373842e387,dd40ba38-004f-4638-aa3b-0c787f7c8864,FALSE,n09fqu25tt,f5777459-a8e4-45a9-9986-07373842e387,,
08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,00197bf2-70ad-41da-a0d8-b128cac61009,FALSE,08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,.,99
08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,00197bf2-70ad-41da-a0d8-b128cac61009,FALSE,08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,.,99
08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,00197bf2-70ad-41da-a0d8-b128cac61009,FALSE,08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,offerwall.new,9
08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,00197bf2-70ad-41da-a0d8-b128cac61009,FALSE,08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,,
08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,0046366a-3bd6-4c01-87b6-1642ff20aaff,TRUE,08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,.,99
08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,0046366a-3bd6-4c01-87b6-1642ff20aaff,TRUE,08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,.,99
08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,0046366a-3bd6-4c01-87b6-1642ff20aaff,TRUE,08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,offerwall.new,9
08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,0046366a-3bd6-4c01-87b6-1642ff20aaff,TRUE,08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,,
08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,02d9a41a-d728-49ad-bf7e-cdee4035c58e,FALSE,08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,.,99
08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,02d9a41a-d728-49ad-bf7e-cdee4035c58e,FALSE,08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,.,99
08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,02d9a41a-d728-49ad-bf7e-cdee4035c58e,FALSE,08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,offerwall.new,9
08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,02d9a41a-d728-49ad-bf7e-cdee4035c58e,FALSE,08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,,
08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,088ea754-2ef2-4764-9ee7-56048d3219da,TRUE,08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,.,99
08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,088ea754-2ef2-4764-9ee7-56048d3219da,TRUE,08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,.,99
08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,088ea754-2ef2-4764-9ee7-56048d3219da,TRUE,08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,offerwall.new,9
08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,088ea754-2ef2-4764-9ee7-56048d3219da,TRUE,08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,,
08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,0a7e8300-08c8-41b2-9f8e-75e3a4bfdda6,FALSE,08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,.,99
08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,0a7e8300-08c8-41b2-9f8e-75e3a4bfdda6,FALSE,08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,.,99
08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,0a7e8300-08c8-41b2-9f8e-75e3a4bfdda6,FALSE,08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,offerwall.new,9
08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,0a7e8300-08c8-41b2-9f8e-75e3a4bfdda6,FALSE,08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,,
08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,0bc578f9-4eea-4908-8934-0347312b2c3f,FALSE,08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,.,99
08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,0bc578f9-4eea-4908-8934-0347312b2c3f,FALSE,08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,.,99
08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,0bc578f9-4eea-4908-8934-0347312b2c3f,FALSE,08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,offerwall.new,9
08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,0bc578f9-4eea-4908-8934-0347312b2c3f,FALSE,08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,,
08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,0c385480-0974-41e7-b793-27159621a9ff,FALSE,08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,.,99
08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,0c385480-0974-41e7-b793-27159621a9ff,FALSE,08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,.,99
08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,0c385480-0974-41e7-b793-27159621a9ff,FALSE,08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,offerwall.new,9
08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,0c385480-0974-41e7-b793-27159621a9ff,FALSE,08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,,
08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,0cbe7ce6-5171-4c82-9d75-25a46036ed78,FALSE,08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,.,99
08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,0cbe7ce6-5171-4c82-9d75-25a46036ed78,FALSE,08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,.,99
08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,0cbe7ce6-5171-4c82-9d75-25a46036ed78,FALSE,08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,offerwall.new,9
08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,0cbe7ce6-5171-4c82-9d75-25a46036ed78,FALSE,08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,,
08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,0d528d54-1713-4321-a1ad-687089fde3e4,TRUE,08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,.,99
08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,0d528d54-1713-4321-a1ad-687089fde3e4,TRUE,08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,.,99
08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,0d528d54-1713-4321-a1ad-687089fde3e4,TRUE,08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,offerwall.new,9
08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,0d528d54-1713-4321-a1ad-687089fde3e4,TRUE,08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,,
08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,0f12f141-198a-457e-b59c-998349619f99,TRUE,08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,.,99
08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,0f12f141-198a-457e-b59c-998349619f99,TRUE,08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,.,99
08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,0f12f141-198a-457e-b59c-998349619f99,TRUE,08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,offerwall.new,9
08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,0f12f141-198a-457e-b59c-998349619f99,TRUE,08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,,
08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,0f4ff2ef-1b6f-4b83-a502-6590973331ad,TRUE,08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,.,99
08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,0f4ff2ef-1b6f-4b83-a502-6590973331ad,TRUE,08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,.,99
08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,0f4ff2ef-1b6f-4b83-a502-6590973331ad,TRUE,08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,offerwall.new,9
08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,0f4ff2ef-1b6f-4b83-a502-6590973331ad,TRUE,08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,,
08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,1a27c5a7-b713-4c75-85aa-764471d9c692,TRUE,08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,.,99
08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,1a27c5a7-b713-4c75-85aa-764471d9c692,TRUE,08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,.,99
08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,1a27c5a7-b713-4c75-85aa-764471d9c692,TRUE,08002738f255,1a3055e4-711a-4cc1-bb80-b908ee14c6e8,offerwall.new,9
